AI 스마트 멀티탭 16A,멀티탭,다원디엔에스,고정형,wifi,상시수집,장치제어,전력량/알람/스위치,사용패턴,1,센서/액츄에이터,0,50.16666667
블루투스 스마트 매립형 콘센트,콘센트,다원디엔에스,고정형,bluetooth,상시수집,장치제어,전력량/알람/스위치,iX,0,센서/액츄에이터,0,37.66666667
IoT 스마트 태양광 발전량 측정기,전력량계,다원디엔에스,고정형,wifi,상시수집,모니터링,발전량/누적발전량/알람,iX,0,센서,0,31.83333333
브런트 Wi-Fi 에어젯 S,공기청정기/공기측정기,브런트,고정형,wifi,상시수집,장치제어/모니터링/음성제어,모드/동작여부/미세먼지농도/온도/습도/알람,iX,0,센서/액츄에이터,0,40.16666667
브런트 블라인드 엔진2,블라인드,브런트,고정형,wifi,조건수집,장치제어/음성제어,문열림인지,iX,0,센서/액츄에이터,0,37.66666667
브런트 플러그,콘센트,브런트,고정형,wifi,상시수집,장치제어/음성제어/모니터링/위치감지,전력량/동작여부/스위치,사용패턴,1,센서/액츄에이터,0,50.16666667
소요리 스마트 전구,전구,merlotlighting,고정형,wifi,X,장치제어/음성제어,조도/색온도/동작여부,iX,0,액츄에이터,0,35.16666667
소요리 IoT 허브 전구,전구,merlotlighting,고정형,wifi,X,장치제어/음성제어,조도/색온도/동작여부,iX,0,액츄에이터,0,35.16666667
소요리 올인원 IoT 거실등,전구,merlotlighting,고정형,wifi,X,장치제어/음성제어,조도/색온도/동작여부,iX,0,액츄에이터,0,35.16666667
소요리 올인원 IoT 방등,전구,merlotlighting,고정형,wifi,X,장치제어/음성제어,조도/색온도/동작여부,iX,0,액츄에이터,0,35.16666667
아이오 스위처 ,스위치,아이오,고정형,bluetooth,X,장치제어/음성제어,스위치,iX,0,액츄에이터,0,32.66666667
스마트 홈카메라,카메라,고퀄,고정형,wifi,상시수집,녹화/녹음/음성제어,영상/움직임감지/음성,행태정보,1,스마트장비,1,54.5
스마트 라인 LED,전구,고퀄,고정형,wifi,상시수집,장치제어/음성제어,조도/색온도/동작여부,iX,0,액츄에이터,0,40.16666667
Xfit GTS,워치,Xfit,이동형,bluetooth,상시수집,위치감지/생체정보감지,심박수/걸음수/혈중산소농도/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
아이온 스마트밴드,워치,ION,이동형,bluetooth,상시수집,위치감지/생체정보감지,심박수/걸음수/혈중산소농도/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
아비람 스마트워치,워치,아비람,이동형,bluetooth,상시수집,위치감지/생체정보감지,심박수/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
BY51 스마트워치,워치,Seetons,이동형,bluetooth,상시수집,위치감지/생체정보감지,심박수/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
스마트밴드 HR2.5,워치,세븐일렉,이동형,bluetooth,상시수집,위치감지/생체정보감지,심박수/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
듀얼 주파수 스마트 체중계,체중계,세븐일렉,고정형,bluetooth,조건수집,위치감지/생체정보감지,체중/체수분/체지방/근육량,행태정보,1,스마트장비,1,49.5
모멘트 엘리트 스마트워치,워치,런타스틱,이동형,bluetooth,상시수집,위치감지/생체정보감지,걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
스트로만 스마트워치,워치,스트로만,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/걸음수/혈중산소농도/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
HERA Fit+,워치,헬스원,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
하트가드 심박밴드,워치,디지쿼터스,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/위치정보/연락처,행태정보,1,스마트장비,1,39.5
Uwatch2,워치,우미디지,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
LEMFO H8 Smartwatch,워치,LEMFO,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
4YOU DZ09 스마트워치,워치,4YOU,이동형,bluetooth,상시수집,생체정보감지/위치감지,걸음수/수면시간,행태정보,1,스마트장비,1,39.5
Letike gt101 스마트 팔찌,밴드,Letike,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
지엠 블루투스 스마트워치,워치,TOLASI,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/혈압/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
카카오프렌즈키즈워치2,워치,카카오,이동형,bluetooth,상시수집,생체정보감지/위치감지,위치정보/연락처,행태정보,1,스마트장비,1,39.5
Greentiger F8 블루투스 스마트 시계,워치,Greentiger,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/혈압/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
하이브리드 워치 지타임,워치,MYKRONOZ,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
Lerbyee 스마트 밴드,밴드,Lerbyee,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/혈압/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
트랙 브라보 위치 추적 아이템 트랙커,위치알림이,TrackR,고정형,bluetooth,상시수집,생체정보감지/위치감지,심박수/혈압/걸음수/수면시간/위치정보,행태정보,1,센서,1,39.33333333
VERY FiTEK,워치,VERYFiTEK,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/혈압/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
LOKMAT 스마트 워치,워치,LOKMAT,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/혈압/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
Y6 Pro 피트니스 트래커 스마트 시계,워치,Y6,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/혈압/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
Lige 2019 스마트워치,워치,Lige,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/혈압/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
SENBONO pull touch 스마트 시계,워치,SENBONO,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/걸음수/혈압/위치정보,행태정보,1,스마트장비,1,39.5
Colmi 스마트 시계,워치,Colmi,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/혈압/혈중산소농도/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
우리아이 지킴이,위치알림이,KEYCO,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/혈압/혈중산소농도/걸음수/수면시간/위치정보,행태정보,1,센서,1,26.83333333
AIRWATCH,워치,젤센,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/혈압/혈중산소농도/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
Arvin Smart Watch,워치,Arvin,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/혈압/혈중산소농도/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
LYKRY 여성 스마트 시계,워치,LYKRY,이동형,bluetooth,상시수집,생체정보감지/위치감지,심박수/혈압/혈중산소농도/걸음수/수면시간/위치정보,행태정보,1,스마트장비,1,39.5
다이슨 퓨어쿨 크립토믹,공기청정기,다이슨,고정형,wifi,상시수집,공기질감지/모니터링/음성제어,미세먼지및초미세먼지농도,iX,0,센서/액츄에이터,1,45.16666667
코드리스 무선 공기청정기,공기청정기,쿠쿠,고정형,wifi,상시수집,공기질감지/모니터링/음성제어,미세먼지및초미세먼지농도,iX,0,센서/액츄에이터,1,45.16666667
